"","Job","Firm","Functional area","Type"
"148","Manager/Senior Manager - Energy & Utilities - Equipment & Asset Management Advisory
Capgemini Invent","Capgemini Invent","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"149","Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting
FTI Consulting","FTI Consulting","Unknown","Job"
"150","Director, Export Controls & Sanctions | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation","Job"
"151","SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork
PwC","PwC","IT Strategy
+1
ERP","Job"
"152","Manager/Senior Manager - Energy & Utilities - Digital Engineering (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Digital","Job"
"153","Third Party Risk Management Consultant
PA Consulting","PA Consulting","Management
+1
Risk & Compliance","Job"
"154","Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Digital","Job"
"155","Technical Support Engineer | Technology
FTI Consulting","FTI Consulting","IT Strategy","Job"
"156","Solution Architect
PA Consulting","PA Consulting","Unknown","Job"
"157","Finance Transformation - Senior Associate
PwC","PwC","Finance","Job"
"158","Senior Manager - Energy & Utilities - Transformation (Digital Strategy/Platform Architecture)
Capgemini Invent","Capgemini Invent","Unknown","Job"
"159","Finance Transformation - Manager
PwC","PwC","Finance","Job"
"160","Revenue Accountant | Finance & Accounting | Core Operations
FTI Consulting","FTI Consulting","Finance","Job"
"161","AWS Engineer
PA Consulting","PA Consulting","Unknown","Job"
"162","Senior Revenue Accountant | Finance & Accounting | Core Operations
FTI Consulting","FTI Consulting","Finance","Job"
"163","Manager/Senior Manager - Energy & Utilities - Customer Experience (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Unknown","Job"
"164","GCP-Cloud Architect
PA Consulting","PA Consulting","Unknown","Job"
"165","Advisory Senior Manager | Portfolio and Programme Management | Dublin/Cork
PwC","PwC","Management","Job"
"166","Data Scientist
PA Consulting","PA Consulting","Data Science","Job"
"167","Manager/Senior Manager - Energy & Utilities - Sector Transformation
Capgemini Invent","Capgemini Invent","Unknown","Job"
"168","Consultant | Industrials & Special Situations | Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"169","Financial Services Advisory | Senior Associate | Banking (Risk)
PwC","PwC","Unknown","Job"
"170","AWS Alliance Manager
PA Consulting","PA Consulting","Unknown","Job"
"171","Financial Services Advisory | Senior Associate | Banking (Digital Banking)
PwC","PwC","Unknown","Job"
"172","Consultant / Senior Consultant - Digital Business Architect (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Digital","Job"
"173","Team Assistant | Regional Leads | Core Operations
FTI Consulting","FTI Consulting","Unknown","Job"
"174","Service Designer - Digital Factory (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Digital","Job"
"175","Software Engineer - C ++
PA Consulting","PA Consulting","Software","Job"
"176","Consultant - Valuations, Disputes and Arbitration | Energy |Economic and Financial Consulting
FTI Consulting","FTI Consulting","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"177","Financial Services Advisory | Manager | Banking (Risk)
PwC","PwC","Unknown","Job"
"178","DevOps Engineer Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Software","Job"
"179","Hardware Engineer
PA Consulting","PA Consulting","Unknown","Job"
"180","Financial Services Advisory | Senior Associate | Banking (Retail Banking Operations)
PwC","PwC","Unknown","Job"
"181","Benefits Advisor | Human Resources | Core Operations
FTI Consulting","FTI Consulting","Human Resources","Job"
"182","Finance Associate - Accounts Payable, 12 month contract
PA Consulting","PA Consulting","Finance","Job"
"183","Marketing Executive | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Marketing
+1
Forensic & Litigation","Job"
"184","Financial Services Advisory | Manager | Banking (Transaction Enablement and Migration)
PwC","PwC","Unknown","Job"
"185","Cloud Operating Model - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Cloud","Job"
"186","Financial Services Advisory | Manager | Banking (Corporate Banking Operations)
PwC","PwC","Unknown","Job"
"187","Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Strategy
+1
Cloud","Job"
"188","PR Manager
PA Consulting","PA Consulting","Unknown","Job"
"189","Executive Assistant, Business Transformation, London
FTI Consulting","FTI Consulting","Unknown","Job"
"190","Director, Managed Document Review | Technology
FTI Consulting","FTI Consulting","IT Strategy","Job"
"191","Lead Software Engineer
PA Consulting","PA Consulting","Software","Job"
"192","Advisory - Asset & Wealth Management - Senior Manager
PwC","PwC","Management","Job"
"193","Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Cloud","Job"
"194","Dynamics 365 CRM Developer
PA Consulting","PA Consulting","CRM
+1
Software","Job"
"195","Cloud Security Senior Manager | Cyber Advisory | Dublin or Cork
PwC","PwC","Cyber Security
+1
Cloud","Job"
"196","Manager/Senior Manager - Energy & Utilities - Water (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Unknown","Job"
"197","EMEA Benefits Manager | Human Resources | Core Operations
FTI Consulting","FTI Consulting","Human Resources","Job"
"198","Manager/Senior Manager - Energy & Utilities - Water (Glasgow)
Capgemini Invent","Capgemini Invent","Unknown","Job"
"199","Senior Consultant, Transaction Advisory Services | Corporate Finance & Restructuring
FTI Consulting","FTI Consulting","Corporate Finance
+2
Restructuring
Finance","Job"
"200","Strategy& - Strategy Senior Manager I Dublin
PwC","PwC","Strategy","Job"
"201","Commercial & Procurement Specialist
PA Consulting","PA Consulting","Procurement","Job"
"202","AWS DevOps Engineer
PA Consulting","PA Consulting","Software","Job"
"203","HR Business Partner (15 month FTC maternity cover)
FTI Consulting","FTI Consulting","Human Resources","Job"
"204","Financial Services - Advisory | Senior Manager | Dublin or Cork
PwC","PwC","Unknown","Job"
"205","Content Designer - Digital Factory (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Digital","Job"
"206","Operations, Project Delivery & Customer Service Specialist - Advisory Operate - Dublin/Cork, Ireland
PwC","PwC","Unknown","Job"
"207","AWS Engineer
PA Consulting","PA Consulting","Unknown","Job"
"208","Senior Director | Sustainability Communications | Strategic Communications | London
FTI Consulting","FTI Consulting","Unknown","Job"
"209","Management Consultant -Retail Commercial Transformation - London/Manchester/Glasgow
Capgemini Invent","Capgemini Invent","Management","Job"
"210","Full Stack Engineer Consultant (London/Manchester/Glasgow)
Capgemini Invent","Capgemini Invent","Unknown","Job"
"211","AWS Data Engineer
PA Consulting","PA Consulting","Data Science","Job"
"212","Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork
PwC","PwC","IT Strategy","Job"
"213","Executive Assistant (9-month Fixed Term Maternity Contract) | Financial & Professional Services | Strategic Communications 
FTI Consulting","FTI Consulting","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"214","QA Engineer
PA Consulting","PA Consulting","Unknown","Job"
"215","Technology Consulting | Senior Associate | Advisory | Dublin/Cork
PwC","PwC","IT Strategy","Job"
"216","Senior Legal Counsel | Legal & Risk | Core Operations
FTI Consulting","FTI Consulting","Risk & Compliance","Job"
"217","GCP Cloud Architect
PA Consulting","PA Consulting","Cloud","Job"
"218","Technology Consulting | Senior Associate, Manager & Senior Manager | Advisory | Cork
PwC","PwC","IT Strategy","Job"
"219","Legal Counsel (12 month FTC)| Legal & Risk | Core Operations
FTI Consulting","FTI Consulting","Risk & Compliance","Job"
"220","Sustainable Finance Regulation Implementation | Manager Consulting | Dublin or Cork
PwC","PwC","Finance","Job"
"221","DevOps Engineer
PA Consulting","PA Consulting","Software","Job"
"222","Director, Forensic Accounting Advisory Services | Forensic and Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation","Job"
"223","Supply Chain Senior Manager | Advisory Consulting | Dublin/Cork
PwC","PwC","Supply Chain","Job"
"224","Senior Consultant | Forensic Accounting Advisory Services | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation","Job"
"225","Lead Software Engineer
PA Consulting","PA Consulting","Software","Job"
"226","Director | Financial Services, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"227","Senior Support Enginner
PA Consulting","PA Consulting","Unknown","Job"
